elbow_flex_pos,joint,n_samples,peak_velocity_deg_per_s,shoulder_lift_pos,shoulder_pan_pos,test_name,trial,wrist_flex_pos,wrist_roll_pos
49.97802197802198,,,,-14.725274725274724,1.8461538461538463,repeatability,1,15.692307692307692,0.21978021978021978
46.989010989010985,,,,31.076923076923077,0.17582417582417584,repeatability,2,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.26373626373626374,repeatability,3,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.5274725274725275,repeatability,4,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.6153846153846154,repeatability,5,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.26373626373626374,repeatability,6,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.3516483516483517,repeatability,7,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.43956043956043955,repeatability,8,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.26373626373626374,repeatability,9,15.692307692307692,0.13186813186813187
46.989010989010985,,,,31.076923076923077,0.43956043956043955,repeatability,10,15.692307692307692,0.13186813186813187
,shoulder_pan.pos,17,108.22296875839417,,,speed_peak_velocity,1,,
,shoulder_lift.pos,17,123.10476356954489,,,speed_peak_velocity,2,,
,elbow_flex.pos,17,106.43886879953743,,,speed_peak_velocity,3,,
,wrist_flex.pos,17,111.45248329948326,,,speed_peak_velocity,4,,
,wrist_roll.pos,17,116.38482284095228,,,speed_peak_velocity,5,,
